metric,metric_label,outcome,outcome_label,score_type,scope,tier,n,excluded,pearson,pearson_ci_low,pearson_ci_high,spearman,spearman_ci_low,spearman_ci_high,included_municipalities,excluded_municipalities,note
dx_info_staff,DX・情報関係業務担当職員数（総務省・広義）,impl,実装成果スコア（II+III+IV-2+VI・60点）,raw,主分析（実装成果・未確認率30%以下）,算出不能,0,11,算出不能,算出不能,算出不能,算出不能,算出不能,算出不能,—,那覇市／宜野湾市／石垣市／浦添市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,n<3 のため算出不能。データ不足であり「相関なし」を意味しない。主分析対象1市（那覇市）は本指標が未取得のため対が作れない。相関は因果を意味しない。有意でないことは関係が無いことを意味しない（検出力不足）
dx_info_staff,DX・情報関係業務担当職員数（総務省・広義）,impl,実装成果スコア（II+III+IV-2+VI・60点）,raw,感度分析（参考値を含む全市）,成立（n>=6）,8,3,0.261,-0.544,0.816,0.420,-0.426,0.874,石垣市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,那覇市／宜野湾市／浦添市,参考値であり主結論には用いない。未確認率30%超の市を含むためスコアは調査到達度を強く反映する
dx_info_staff,DX・情報関係業務担当職員数（総務省・広義）,impl,実装成果スコア（II+III+IV-2+VI・60点）,adjusted,主分析（実装成果・未確認率30%以下）,算出不能,0,11,算出不能,算出不能,算出不能,算出不能,算出不能,算出不能,—,那覇市／宜野湾市／石垣市／浦添市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,n<3 のため算出不能。データ不足であり「相関なし」を意味しない。主分析対象1市（那覇市）は本指標が未取得のため対が作れない。相関は因果を意味しない。有意でないことは関係が無いことを意味しない（検出力不足）
dx_info_staff,DX・情報関係業務担当職員数（総務省・広義）,impl,実装成果スコア（II+III+IV-2+VI・60点）,adjusted,感度分析（参考値を含む全市）,成立（n>=6）,8,3,0.225,-0.570,0.802,0.272,-0.554,0.828,石垣市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,那覇市／宜野湾市／浦添市,参考値であり主結論には用いない。未確認率30%超の市を含むためスコアは調査到達度を強く反映する
dx_info_staff,DX・情報関係業務担当職員数（総務省・広義）,total,総合DXスコア（21項目・100点）,raw,感度分析（参考値を含む全市）,成立（n>=6）,8,3,0.241,-0.558,0.808,0.339,-0.500,0.850,石垣市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,那覇市／宜野湾市／浦添市,参考値であり主結論には用いない。総合100点スコアは I-3・IV-1・V-2・V-3 等、説明変数と構成概念が重複する項目を含むため人員数と相関させると採点設計に由来する相関が生じうる
dx_info_staff,DX・情報関係業務担当職員数（総務省・広義）,total,総合DXスコア（21項目・100点）,adjusted,感度分析（参考値を含む全市）,成立（n>=6）,8,3,-0.076,-0.741,0.664,-0.060,-0.746,0.687,石垣市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,那覇市／宜野湾市／浦添市,参考値であり主結論には用いない。総合100点スコアは I-3・IV-1・V-2・V-3 等、説明変数と構成概念が重複する項目を含むため人員数と相関させると採点設計に由来する相関が生じうる
dx_info_staff_per_10000_population,人口1万人あたりDX・情報関係業務担当職員数,impl,実装成果スコア（II+III+IV-2+VI・60点）,raw,主分析（実装成果・未確認率30%以下）,算出不能,0,11,算出不能,算出不能,算出不能,算出不能,算出不能,算出不能,—,那覇市／宜野湾市／石垣市／浦添市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,n<3 のため算出不能。データ不足であり「相関なし」を意味しない。主分析対象1市（那覇市）は本指標が未取得のため対が作れない。相関は因果を意味しない。有意でないことは関係が無いことを意味しない（検出力不足）
dx_info_staff_per_10000_population,人口1万人あたりDX・情報関係業務担当職員数,impl,実装成果スコア（II+III+IV-2+VI・60点）,raw,感度分析（参考値を含む全市）,算出不能,0,11,算出不能,算出不能,算出不能,算出不能,算出不能,算出不能,—,那覇市／宜野湾市／石垣市／浦添市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,n<3 のため算出不能。データ不足であり「相関なし」を意味しない。参考値であり主結論には用いない。未確認率30%超の市を含むためスコアは調査到達度を強く反映する
dx_info_staff_per_10000_population,人口1万人あたりDX・情報関係業務担当職員数,impl,実装成果スコア（II+III+IV-2+VI・60点）,adjusted,主分析（実装成果・未確認率30%以下）,算出不能,0,11,算出不能,算出不能,算出不能,算出不能,算出不能,算出不能,—,那覇市／宜野湾市／石垣市／浦添市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,n<3 のため算出不能。データ不足であり「相関なし」を意味しない。主分析対象1市（那覇市）は本指標が未取得のため対が作れない。相関は因果を意味しない。有意でないことは関係が無いことを意味しない（検出力不足）
dx_info_staff_per_10000_population,人口1万人あたりDX・情報関係業務担当職員数,impl,実装成果スコア（II+III+IV-2+VI・60点）,adjusted,感度分析（参考値を含む全市）,算出不能,0,11,算出不能,算出不能,算出不能,算出不能,算出不能,算出不能,—,那覇市／宜野湾市／石垣市／浦添市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,n<3 のため算出不能。データ不足であり「相関なし」を意味しない。参考値であり主結論には用いない。未確認率30%超の市を含むためスコアは調査到達度を強く反映する
dx_info_staff_per_10000_population,人口1万人あたりDX・情報関係業務担当職員数,total,総合DXスコア（21項目・100点）,raw,感度分析（参考値を含む全市）,算出不能,0,11,算出不能,算出不能,算出不能,算出不能,算出不能,算出不能,—,那覇市／宜野湾市／石垣市／浦添市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,n<3 のため算出不能。データ不足であり「相関なし」を意味しない。参考値であり主結論には用いない。総合100点スコアは I-3・IV-1・V-2・V-3 等、説明変数と構成概念が重複する項目を含むため人員数と相関させると採点設計に由来する相関が生じうる
dx_info_staff_per_10000_population,人口1万人あたりDX・情報関係業務担当職員数,total,総合DXスコア（21項目・100点）,adjusted,感度分析（参考値を含む全市）,算出不能,0,11,算出不能,算出不能,算出不能,算出不能,算出不能,算出不能,—,那覇市／宜野湾市／石垣市／浦添市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,n<3 のため算出不能。データ不足であり「相関なし」を意味しない。参考値であり主結論には用いない。総合100点スコアは I-3・IV-1・V-2・V-3 等、説明変数と構成概念が重複する項目を含むため人員数と相関させると採点設計に由来する相関が生じうる
dx_info_staff_per_100_staff,職員100人あたりDX・情報関係業務担当職員数,impl,実装成果スコア（II+III+IV-2+VI・60点）,raw,主分析（実装成果・未確認率30%以下）,算出不能,0,11,算出不能,算出不能,算出不能,算出不能,算出不能,算出不能,—,那覇市／宜野湾市／石垣市／浦添市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,n<3 のため算出不能。データ不足であり「相関なし」を意味しない。主分析対象1市（那覇市）は本指標が未取得のため対が作れない。相関は因果を意味しない。有意でないことは関係が無いことを意味しない（検出力不足）
dx_info_staff_per_100_staff,職員100人あたりDX・情報関係業務担当職員数,impl,実装成果スコア（II+III+IV-2+VI・60点）,raw,感度分析（参考値を含む全市）,算出不能,0,11,算出不能,算出不能,算出不能,算出不能,算出不能,算出不能,—,那覇市／宜野湾市／石垣市／浦添市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,n<3 のため算出不能。データ不足であり「相関なし」を意味しない。参考値であり主結論には用いない。未確認率30%超の市を含むためスコアは調査到達度を強く反映する
dx_info_staff_per_100_staff,職員100人あたりDX・情報関係業務担当職員数,impl,実装成果スコア（II+III+IV-2+VI・60点）,adjusted,主分析（実装成果・未確認率30%以下）,算出不能,0,11,算出不能,算出不能,算出不能,算出不能,算出不能,算出不能,—,那覇市／宜野湾市／石垣市／浦添市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,n<3 のため算出不能。データ不足であり「相関なし」を意味しない。主分析対象1市（那覇市）は本指標が未取得のため対が作れない。相関は因果を意味しない。有意でないことは関係が無いことを意味しない（検出力不足）
dx_info_staff_per_100_staff,職員100人あたりDX・情報関係業務担当職員数,impl,実装成果スコア（II+III+IV-2+VI・60点）,adjusted,感度分析（参考値を含む全市）,算出不能,0,11,算出不能,算出不能,算出不能,算出不能,算出不能,算出不能,—,那覇市／宜野湾市／石垣市／浦添市／名護市／糸満市／沖縄市／豊見城市／うるま市／宮古島市／南城市,n<3 のため算出不能。データ不足であり「相関なし」を意味しない。参考値であり主結論には用いない。未確認率30%超の市を含むためスコアは調査到達度を強く反映する
